parent_code,code,name
34939304,34886588,Чернівецький РВ ДВС ГТУЮ у Вінницькій області
34939304,34363692,Чечельницький РВ ДВС ГТУЮ у Вінницькій області
34939304,34989465,Шаргородський РВ ДВС ГТУЮ у Вінницькій області
34939304,34244044,Ямпільський РВ ДВС ГТУЮ у Вінницькій області
0,34827061,ГТУЮ у Волинській області
34827061,35041810,Володимир-Волинський МРВ ДВС ГТУЮ у Волинській області
34827061,34969517,Горохівський РВ ДВС ГТУЮ у Волинській області
34827061,34766072,Іваничівський РВ ДВС ГТУЮ у Волинській області
34827061,34836888,К-Каширський РВ ДВС ГТУЮ у Волинській області
34827061,35055336,Ківерцівський РВ ДВС ГТУЮ у Волинській області
34827061,34898111,Ковельський МРВ ДВС ГТУЮ у Волинській області
34827061,34649579,Локачинський РВ ДВС ГТУЮ у Волинській області
34827061,35041461,Перший відділ ДВС міста Луцьк ГТУЮ у Волинській області
34827061,35041370,Другий відділ ДВС міста Луцьк ГТУЮ у Волинській області
34827061,35041407,Луцький РВ ДВС ГТУЮ у Волинській області
34827061,35035037,Любешівський РВ ДВС ГТУЮ у Волинській області
34827061,35078662,Любомльський РВ ДВС ГТУЮ у Волинській області
34827061,34516065,Маневицький РВ ДВС ГТУЮ у Волинській області
34827061,35055294,Нововолинський МВ ДВС ГТУЮ у Волинській області
34827061,34417276,Ратнівський РВ ДВС ГТУЮ у Волинській області
34827061,34989638,Рожищенський РВ ДВС ГТУЮ у Волинській області
34827061,35004040,Старовижівський РВ ДВС ГТУЮ у Волинській області
34827061,34918745,Турійський РВ ДВС ГТУЮ у Волинській області
34827061,34989659,Шацький РВ ДВС ГТУЮ у Волинській області
0,34984907,ГТУЮ у Дніпропетровській області
34984907,34984493,Амур-Нижньодніпровський ВДВС м.Дніпропетровськ ГТУЮ у Дніпропетровській області
34984907,34439965,Апостолівський РВДВС ГТУЮ у Дніпропетровській області
34984907,34984509,Бабушкінський ВДВС м.Дніпропетровськ ГТУЮ у Дніпропетровській області
34984907,34974582,Баглійський ВДВС м.Дніпродзержинськ ГТУЮ у Дніпропетровській області
34984907,34974066,Васильківський РВДВС ГТУЮ у Дніпропетровській області
34984907,34958992,Верхньодніпровський РВДВС ГТУЮ у Дніпропетровській області
34984907,34939629,Вільногірський МВДВС ГТУЮ у Дніпропетровській області
34984907,34545855,Дзержинський ВДВС м.Кривий Ріг ГТУЮ у Дніпропетровській області
34984907,34974239,Дніпровський ВДВС м.Дніпродзержинськ ГТУЮ у Дніпропетровській області
34984907,34919031,Дніпропетровський РВ ДВС ГТУЮ у Дніпропетровській області
34984907,34545840,Довгинцівський ВДВС м.Кривий Ріг ГТУЮ у Дніпропетровській області
34984907,34984523,Жовтневий ВДВС м.Дніпропетровськ ГТУЮ у Дніпропетровській області
34984907,34545918,Жовтневий ВДВС м.Кривий Ріг ГТУЮ у Дніпропетровській області
34984907,34582719,Жовтоводський МВДВС ГТУЮ у Дніпропетровській області
34984907,34974176,Заводський ВДВС м.Дніпродзержинськ ГТУЮ у Дніпропетровській області
34984907,34545923,Інгулецький ВДВС м.Кривий Ріг ГТУЮ у Дніпропетровській області
34984907,34984472,Індустріальний  ВДВС м.Дніпропетровськ ГТУЮ у Дніпропетровській області
34984907,34984540,Кіровський ВДВС м.Дніпропетровськ ГТУЮ у Дніпропетровській області
34984907,34984488,Красногвардійський ВДВС м.Дніпропетровськ ГТУЮ у Дніпропетровській області
34984907,34545939,Криворізький РВДВС ГТУЮ у Дніпропетровській області
34984907,34621532,Криничанський РВДВС ГТУЮ у Дніпропетровській області
34984907,34984467,Ленінський ВДВС м.Дніпропетровськ ГТУЮ у Дніпропетровській області
34984907,34277111,Магдалинівський РВ ДВС ГТУЮ у Дніпропетровській області
34984907,34836961,Марганецький МВДВС ГТУЮ у Дніпропетровській області
34984907,34969695,Межівський РВ ДВС ГТУЮ у Дніпропетровській області
34984907,35004297,Нікопольський МРВДВС ГТУЮ у Дніпропетровській області
34984907,34893684,Новомосковський МР ВДВС ГТУЮ у Дніпропетровській області
34984907,34959192,Орджонікідзевський МВДВС ГТУЮ у Дніпропетровській області
34984907,35020282,Павлоградський МРВДВС ГТУЮ у Дніпропетровській області
34984907,34357186,Першотравенський МВ ДВС ГТУЮ у Дніпропетровській області
34984907,34626441,Петриківський РВДВС ГТУЮ у Дніпропетровській області
34984907,34245430,Петропавлівський РВДВС ГТУЮ у Дніпропетровській області
34984907,34701324,Покровський РВ ДВС ГТУЮ у Дніпропетровській області
34984907,34894289,П'ятихатський РВДВС ГТУЮ у Дніпропетровській області
34984907,34545897,Саксаганський ВДВС м.Кривий Ріг ГТУЮ у Дніпропетровській області
34984907,34984535,Самарський ВДВС м.Дніпропетровськ ГТУЮ у Дніпропетровській області
34984907,34701502,Синельниківський МРВДВС ГТУЮ у Дніпропетровській області
34984907,34868045,Солонянський РВДВС ГТУЮ у Дніпропетровській області
34984907,34898305,Софіївський РВДВС ГТУЮ у Дніпропетровській області
34984907,34766397,Тернівський МВ ДВС ГТУЮ у Дніпропетровській області
34984907,34545860,Тернівський ВДВС м.Кривий Ріг ГТУЮ у Дніпропетровській області
34984907,33893128,Томаківський РВДВС ГТУЮ у Дніпропетровській області
34984907,34417454,Царичанський РВДВС ГТУЮ у Дніпропетровській області
34984907,34545876,Центрально-Міський ВДВС м.Кривий Ріг ГТУЮ у Дніпропетровській області
34984907,34917432,Широківський РВДВС ГТУЮ у Дніпропетровській області
34984907,34196148,Юр'ївський РВДВС ГТУЮ у Дніпропетровській області
0,34898944,ГТУЮ у Донецькій області
34898944,34990952,Авдіївській МВ ДВС ГТУЮ у Донецькій області
34898944,34776850,Бахмуцький МРВ ДВС ГТУЮ у Донецькій області
